Bucket,Lat,Lon,Medical Emergencies,Medical MFAs,NonMedical Emergencies,NonMedical MFAs,NonStructural Fires,Structural Fires,Total
Lat83Lon72,40.8365,-73.8596,162,,82,4,2,13,263
Lat83Lon73,40.8365,-73.854,95,,85,12,2,16,210
Lat83Lon74,40.8365,-73.8484,124,,120,6,4,11,265
Lat83Lon75,40.8365,-73.8428,21,,11,6,7,2,47
Lat83Lon76,40.8365,-73.8372,41,,34,1,2,4,82
Lat83Lon77,40.8365,-73.8316,49,,27,3,4,6,89
Lat83Lon78,40.8365,-73.826,19,,27,,1,4,51
Lat83Lon79,40.8365,-73.8204,42,,27,3,,5,77
Lat83Lon80,40.8365,-73.8148,10,,8,,2,,20
Lat83Lon86,40.8365,-73.7812,6,,8,2,,,16
Lat84Lon33,40.8407,-74.078,1,,1,,,,2
Lat84Lon57,40.8407,-73.9436,262,4,313,11,15,23,628
Lat84Lon58,40.8407,-73.938,398,1,242,17,38,26,722
Lat84Lon59,40.8407,-73.9324,24,,16,1,1,2,44
Lat84Lon60,40.8407,-73.9268,289,2,169,14,6,17,497
Lat84Lon61,40.8407,-73.9212,211,,131,19,12,15,388
Lat84Lon62,40.8407,-73.9156,623,2,405,35,20,33,1118
Lat84Lon63,40.8407,-73.91,199,3,101,12,3,13,331
Lat84Lon64,40.8407,-73.9044,76,1,91,11,2,7,188
Lat84Lon65,40.8407,-73.8988,104,,98,15,7,9,233
Lat84Lon66,40.8407,-73.8932,143,1,133,10,7,20,314
Lat84Lon67,40.8407,-73.8876,200,1,147,26,17,32,423
Lat84Lon68,40.8407,-73.882,264,,218,18,12,16,528
Lat84Lon69,40.8407,-73.8764,117,1,78,9,15,17,237
Lat84Lon70,40.8407,-73.8708,164,6,121,7,13,15,326
Lat84Lon71,40.8407,-73.8652,264,4,200,7,8,19,502
Lat84Lon72,40.8407,-73.8596,143,1,102,8,,20,274
Lat84Lon73,40.8407,-73.854,198,1,160,8,6,20,393
Lat84Lon74,40.8407,-73.8484,110,,96,7,2,6,221
Lat84Lon75,40.8407,-73.8428,167,,81,7,8,8,271
Lat84Lon76,40.8407,-73.8372,53,,30,3,1,3,90
Lat84Lon77,40.8407,-73.8316,49,,48,,1,4,102
Lat84Lon78,40.8407,-73.826,24,,27,,1,6,58
Lat84Lon79,40.8407,-73.8204,16,,30,2,,3,51
Lat84Lon80,40.8407,-73.8148,13,,5,,,2,20
Lat84Lon85,40.8407,-73.7868,23,,14,,,9,46
Lat84Lon86,40.8407,-73.7812,17,,2,,,1,20
Lat85Lon57,40.8449,-73.9436,105,2,92,3,6,11,219
Lat85Lon58,40.8449,-73.938,366,2,284,18,24,22,716
Lat85Lon59,40.8449,-73.9324,111,1,265,12,14,31,434
Lat85Lon60,40.8449,-73.9268,87,1,65,,2,9,164
Lat85Lon61,40.8449,-73.9212,253,1,239,21,15,76,605
Lat85Lon62,40.8449,-73.9156,257,2,134,15,11,28,447
Lat85Lon63,40.8449,-73.91,228,2,202,25,8,26,491
Lat85Lon64,40.8449,-73.9044,288,2,201,24,4,13,532
Lat85Lon65,40.8449,-73.8988,110,2,97,18,4,7,238
Lat85Lon66,40.8449,-73.8932,202,1,117,18,6,25,369
Lat85Lon67,40.8449,-73.8876,191,1,224,21,10,36,483
Lat85Lon68,40.8449,-73.882,374,3,302,28,10,50,767
Lat85Lon69,40.8449,-73.8764,45,,36,7,,7,95
Lat85Lon70,40.8449,-73.8708,18,,12,3,,,33
