Address,Lat,Lon
"STANLEY & LOUISIANA AVES, New York, NY 11207",40.655198,-73.893548
"BROAD & BEAVER STS, New York, NY 10004",40.70496,-74.011579
"LAFAYETTE & WALKER STS, New York, NY 10013",40.717933,-74.000997
"CORONA AVE & 102 ST, New York, NY 11368",40.74429,-73.861771
"JAY & YORK STS, New York, NY 11201",40.701536,-73.98674
"AVENUE O & E 15 ST, New York, NY 11230",40.612954,-73.959078
"PECK AVE & KISSENA BLVD, New York, NY 11355",40.745559,-73.813686
"2 AVE & 107 ST, New York, NY 10029",40.791226,-73.941997
"GARFIELD AVE & 69 PL, New York, NY 11377",40.736724,-73.895051
"GILES & CANNON PLS, New York, NY 10463",40.879924,-73.897863
"69 ST & 37 RD, New York, NY 11377",40.747627,-73.896575
"PARK AVE & 161 ST, New York, NY 10451",40.82505,-73.915421
"PARK AVE & MARCUS GARVEY BLVD/SUMNER AVE, New York, NY 11206",40.700281,-73.941149
"FOREST AVE & RAYMOND PL, New York, NY 10310",40.627215,-74.124259
"120 AVE & 190 ST, New York, NY 11412",40.687287,-73.758858
"CONCORD AVE & 152 ST, New York, NY 10455",40.815848,-73.907169
"WASHINGTON & ST MARKS AVES, New York, NY 11238",40.677914,-73.966541
"SEYMOUR AVE & HICKS ST, New York, NY 10469",40.878278,-73.850172
"NEW YORK AVE & PARK PL, New York, NY 11213",40.673268,-73.947394
"WILSON & WILLOUGHBY AVES, New York, NY 11237",40.70091,-73.926083
"2 AVE & E 29 ST, New York, NY 10016",40.741652,-73.978197
"2 AVE & 119 ST, New York, NY 10035",40.798946,-73.936372
"23 AVE & BAY CLUB DR, New York, NY 11360",40.778876,-73.781093
"M.L.KING JR BLVD & W 179 ST, New York, NY 10453",40.848923,-73.902408
"BROADWAY & W 225 ST, New York, NY 10463",40.87436,-73.91019
"103 AVE & 89 ST, New York, NY 11416",40.68081,-73.85013
"33 AVE & 166 ST, New York, NY 11358",40.767666,-73.799213
"UNION AVE & 165 ST, New York, NY 10459",40.824385,-73.901176
"MORRIS AVE & E 170 ST, New York, NY 10456",40.837781,-73.911435
"51 AVE & 63 ST, New York, NY NA",40.735679,-73.902829
"COLLEGE AVE & 169 ST, New York, NY 10456",40.835008,-73.912064
"BRIGHTON AVE & SILVER LAKE RD, New York, NY 10301",40.632884,-74.097198
"MORRIS AVE & E 170 ST, New York, NY 10456",40.837781,-73.911435
"N/S ATLANTIC AVE & 90 ST, New York, NY 11421",40.687243,-73.852344
"AVENUE R & E 24 ST, New York, NY 11229",40.606766,-73.94891
"60 RD & 85 ST, New York, NY 11379",40.728935,-73.874543
"BROADWAY & W 177 ST, New York, NY 10033",40.847554,-73.93806
"WESTCHESTER & CASTLE HILL AVES, New York, NY 10462",40.83421,-73.851671
"19 AVE & 68 ST, New York, NY 11204",40.61613,-73.989851
"WINCHESTER BLVD & SEWARD AVE, New York, NY 11427",40.73617,-73.734353
"2 AVE & 121 ST, New York, NY 10035",40.800206,-73.935456
"35 AVE & 21 ST, New York, NY 11106",40.761351,-73.935372
"58 AVE & 197 ST, New York, NY 11365",40.744802,-73.779494
"CENTER MALL & HENRY ST, New York, NY 11231",40.674903,-74.003814
"ANDREWS AVENUE & 180 ST, New York, NY 10453",40.856006,-73.912152
"SHERMAN AVE & 164 ST, New York, NY 10456",40.829117,-73.918636
"RALPH & GATES AVES, New York, NY 11221",40.688837,-73.926402
"FULTON & BRIDGE STS, New York, NY 11201",40.67921,-73.928034
"BELMONT AVE & POWELL ST, New York, NY 11212",40.6694,-73.903887
"43 AVE & 45 ST, New York, NY 11104",40.745022,-73.919271
"17 AVE & 86 ST, New York, NY 11214",40.608594,-74.004855
"108 DR & MERRICK BLVD, New York, NY 11433",40.697496,-73.784927
"PARK AVE & 34 ST, New York, NY 10016",40.747116,-73.98144
"BROADWAY & ELLERY ST, New York, NY 11206",40.699464,-73.939688
"PARK & CLERMONT AVES, New York, NY 11205",40.696146,-73.971459
"STEPHENS AVE & SOUND VIEW AVE, New York, NY 10473",40.807906,-73.852843
"BAY ST & BOROUGH PL, New York, NY 10301",40.641958,-74.07533
"BROADWAY & W 59 ST, New York, NY 10023",40.76878,-73.982115
"NEW YORK AVE & MIDWOOD ST, New York, NY 11225",40.66029,-73.947697
"MORRIS AVE & 183 ST, New York, NY 10468",40.858095,-73.901924
"31 RD & 137 ST, New York, NY 11354",40.769613,-73.831499
"AVENUE S & BEDFORD AVE, New York, NY 11229",40.604553,-73.947515
"2 AVE & E 35 ST, New York, NY 10001",40.745461,-73.975392
"LAFAYETTE & HUNTS POINT AVES, New York, NY 10474",40.816624,-73.887914
"BROADWAY & WHITE ST, New York, NY 10013",40.71819,-74.003028
"27 AVE & 1 ST, New York, NY 11102",40.775592,-73.936152
"91 AVE. & 146 ST., New York, NY 11435",40.701057,-73.808873
"BROADWAY & W 44 ST, New York, NY 10036",40.757243,-73.98578
"RALPH & JEFFERSON AVES, New York, NY 11221",40.686349,-73.923401
"SMITH & SCHERMERHORN STS, New York, NY 11201",40.689871,-73.98829
"BRYANT AVE & 173 ST, New York, NY 10460",40.834803,-73.886109
"WEST END DR & LITTLE NECK PKWY, New York, NY 11362",40.771496,-73.731521
"FULTON & LINWOOD STS, New York, NY 11208",40.680225,-73.883794
"120 AVE & 170 ST, New York, NY 11434",40.682952,-73.77504
"MONROE ST & MARKET ST, New York, NY 10002",40.711601,-73.994251
"AVE Y & EAST 18 ST, New York, NY 11235",40.5904,-73.951894
"GREENWICH & HORATIO STS, New York, NY 10014",40.738755,-74.006457
"20 AVE & 57 ST, New York, NY 11204",40.621078,-73.981119
"JEFFERSON AV & MALCOLM X BLVD\REID AVE, New York, NY 11221",40.683913,-73.929002
"86 AVE & 109 ST, New York, NY 11418",40.698185,-73.839787
"ELDRIDGE & HESTER STS, New York, NY 10002",40.716485,-73.992831
"214 ST & HOLLAND AVE, New York, NY 10467",40.879471,-73.863597
"HOWARD AVE & DECATUR ST, New York, NY 11233",40.68299,-73.920028
"GRISWOLD AVE & BAYSHORE AVE, New York, NY 10465",40.844139,-73.820365
"43 AVE & 215 ST, New York, NY 11361",40.761786,-73.767909
"JOHNSON ST & LAWRENCE ST, New York, NY 11201",40.694929,-73.986098
"WESTCHESTER & WHEELER AVES, New York, NY 10472",40.828513,-73.880111
"LEWIS AVE & PULASKI ST, New York, NY 11206",40.693752,-73.937195
"MELROSE AVE & 161 ST, New York, NY 10451",40.824196,-73.913848
